url,repo,file,java_file,func,hunk,test,note
https://github.com/line/armeria/commit/b597f7a865a527a84ee3d6937075cfbb4470ed20,line/armeria,3,3,8,16,1,Merge pull request from GHSA-35fr-h7jr-hh86
https://github.com/dropwizard/dropwizard/commit/d5a512f7abf965275f2a6b913ac4fe778e424242,dropwizard/dropwizard,4,4,16,32,1,Disable message interpolation in ConstraintViolations by default (#3208)
https://github.com/FasterXML/jackson-dataformats-binary/commit/de072d314af8f5f269c8abec6930652af67bc8e6,FasterXML/jackson-dataformats-binary,4,2,15,19,1,Fix eager allocation aspect of #186
https://github.com/weld/core/commit/29fd1107fd30579ad9bb23fae4dc3ba464205745,weld/core,0,0,0,0,1,WELD-1802 RequestScopedCache - Testcase
https://github.com/oblac/jodd/commit/9bffc3913aeb8472c11bb543243004b4b4376f16,oblac/jodd,4,3,4,4,1,Added `allowClass` (closes #628)
https://github.com/bcgit/bc-java/commit/b0c3ce99d43d73a096268831d0d120ffc89eac7f#diff-3679f5a9d2b939d0d3ee1601a7774fb0,bcgit/bc-java,1,1,0,1,1,added length check for sequence in DSA signatures
https://github.com/FasterXML/jackson-databind/commit/28badf7ef60ac3e7ef151cd8e8ec010b8479226a,FasterXML/jackson-databind,2,1,0,4,1,Backport #2052, #2058 fixes for 2.7.9.4
https://github.com/lukashinsch/spring-boot-actuator-logview/commit/1c76e1ec3588c9f39e1a94bf27b5ff56eb8b17d6,lukashinsch/spring-boot-actuator-logview,3,1,3,7,1,Merge pull request #30 from lukashinsch/hotfix/dir-traversal
https://github.com/FasterXML/jackson-databind/commit/a424c038ba0c0d65e579e22001dec925902ac0ef,FasterXML/jackson-databind,2,1,0,2,1,Fix #2658
https://github.com/netty/netty/commit/2fa9400a59d0563a66908aba55c41e7285a04994,netty/netty,1,1,2,6,1,Fix a bug where SslHandler does not handle SSLv2Hello correctly
https://github.com/ratpack/ratpack/commit/c560a8d10cb8bdd7a526c1ca2e67c8f224ca23ae,ratpack/ratpack,0,0,0,0,1,Add test for response header validation
https://github.com/FasterXML/jackson-databind/commit/28badf7ef60ac3e7ef151cd8e8ec010b8479226a,FasterXML/jackson-databind,2,1,0,4,1,Backport #2052, #2058 fixes for 2.7.9.4
https://github.com/kiegroup/jbpm-wb/commit/4818204506e8e94645b52adb9426bedfa9ffdd04,kiegroup/jbpm-wb,1,1,0,1,1,BZ-1049109: escaping task name html inputs
https://github.com/togglz/togglz/commit/ed66e3f584de954297ebaf98ea4a235286784707,togglz/togglz,10,5,7,23,1,Added CSRF protection to the togglz console via a CSRF token passed between the server and the clinet. This remediates the vulnerabilty CVE-2020-28191 by blocking CSRF attacks as the attcker will not be able to guess the CSRF token value. (#495)
https://github.com/bcgit/bc-java/commit/790642084c4e0cadd47352054f868cc8397e2c00#diff-e5934feac8203ca0104ab291a3560a31,bcgit/bc-java,5,5,0,40,1,Fix carry propagation bug in Nat???.square methods
https://github.com/FasterXML/jackson-databind/commit/ad5a630174f08d279504bc51ebba8772fd71b86b,FasterXML/jackson-databind,1,0,0,1,1,Add cve id for #2798
